昵称,月连接用户数(W),月深度用户数(W),星图id,内容垂类,粉丝量,60s以上视频报价,男性粉丝比例,24-30岁粉丝比例,31-40岁粉丝比例,41-50岁粉丝比例,50岁以上粉丝比例,星图指数,性价比指数,预期播放量,互动率,完播率,预期CPE,预期CPM,总分,等级
爽哥🖤黑帥  ⁸⁸⁸⁸,,667.3,6.82633E+18,汽车,1039397,36000,0.67,0.19,0.44,0.16,0.1,76.57,84.74536284,160631,0.0047,0.1976,47.68428552,224.12,12.4,S级
老A,,509.8,7.14978E+18,"汽车, 生活, 随拍",1061999,35000,0.94,0.23,0.17,0.06,0.05,78.42,60,725937,0.0223,0.1577,2.16204261,48.21,12.6,S级
重庆车多驰汽车-杜,,69.7,6.86629E+18,汽车,1092787,24000,0.93,0.32,0.48,0.12,0.02,69.2,66.78306448,122620,0.0077,0.1606,25.41904352,195.73,8.6,A级
智电趣驾,,5.4,7.04691E+18,汽车,1014244,50000,0.58,0.02,0.07,0.08,0.82,48.18,0,1677,0.9901,0.0235,30.11326744,29815.15,5,B级
灿哥说车 二手车（招主播）,,132.2,1.68051E+15,汽车,1004864,16000,0.86,0.14,0.48,0.24,0.12,72.04,68.19270268,110769,0.0087,0.1628,16.6028443,144.44,11.6,S级
云朵晨霞,,32.3,6.80616E+18,汽车,1050775,15000,0.89,0.08,0.34,0.33,0.23,68.3,66.71975595,108718,0.0102,0.2377,13.52663069,137.97,10.4,S级
李玉儿聊车,,40.2,6.97163E+18,汽车,1080937,70000,0.76,0.22,0.43,0.11,0.11,71.46,71.48174636,32132,0.1375,0.0138,15.8437355,2178.51,10.3,S级
艾维奇Vic,,1213.9,7.0596E+18,"汽车, 生活",1014025,78000,0.72,0.31,0.25,0.04,0.09,79.9,73.35415797,615617,0.0279,0.0956,4.541295846,126.7,13.1,S级
柯洁,,339.8,7.21592E+18,汽车,1144806,300000,0.92,0.18,0.1,0.06,0.04,74.3,0,1381038,0.0297,0.2384,7.314071083,217.23,9.1,A级
台州大蒙济公汽车,,57.5,6.87017E+18,汽车,1132175,8400,0.89,0.07,0.38,0.32,0.22,67.78,69.3342423,89499,0.0103,0.1267,9.112213327,93.86,10.9,S级
恒信精品二手车,,65,6.86307E+18,"剧情搞笑, 汽车",1041222,20100,0.81,0.24,0.42,0.16,0.1,70.11,69.24343459,106689,0.0116,0.1097,16.24121157,188.4,11.1,S级
女子马帮～茵茵（乌兰布统自驾中）,,32,6.87017E+18,汽车,1009766,30000,0.91,0.15,0.45,0.23,0.13,72.46,70.59175025,36635,0.0117,0.1131,69.99051629,818.89,10.6,S级
云端端哥汽车,,43.1,6.87016E+18,汽车,1047102,19000,0.77,0.06,0.29,0.26,0.38,71.53,67.9467932,93319,0.0128,0.141,15.90646064,203.6,10.1,S级
NaiskaGarage,,39.7,6.79035E+18,汽车,1049320,30000,0.97,0.27,0.47,0.14,0.02,73.61,75.00889298,77068,0.0236,0.0888,16.49434838,389.27,12.1,S级
小甜甜儿,,6.5,6.79101E+18,汽车,1052417,40000,0.56,0.01,0.06,0.26,0.66,54.8,41.14937622,3230,0.4015,0.0229,30.844087,12383.9,5,B级
上海东哥二手车,,132.6,6.95735E+18,汽车,1028214,32600,0.97,0.04,0.31,0.4,0.25,73.16,60,60471,0.0101,0.1544,53.37637499,539.1,8.6,A级
陈可儿-,,26.3,6.62966E+18,汽车,1046291,40000,0.94,0.26,0.37,0.16,0.05,66.88,70.51884718,33407,0.0364,0.1323,32.89433648,1197.35,9.4,A级
志鹏《大美新疆》,,57.2,6.67302E+18,汽车,1001102,30000,0.62,0.21,0.46,0.2,0.09,70.23,66.88200622,52763,0.0166,0.1486,34.2518226,568.58,10.6,S级
小麦车济南缘你车梦汽车,,20.5,6.85963E+18,汽车,1022127,0,0.93,0.3,0.47,0.1,0.02,67.16,68.84650972,94387,0,,0,,8.2,A级
懂车小脑斧,,15.8,7.24197E+18,汽车,1025935,68000,0.77,0.17,0.43,0.17,0.13,67.71,0,61739,0.0158,0.1267,69.70954289,1101.41,8.4,A级
（黑哥）常州百信,,17.9,6.97659E+18,汽车,1035491,29000,0.94,0.18,0.45,0.21,0.1,69.4,60,39048,0.0075,0.0906,99.02342416,742.68,7.6,A级
郝健说电车,,253.2,6.87016E+18,汽车,1043109,68000,0.78,0.12,0.46,0.31,0.1,74.35,0,28061,0.0261,0.2062,92.84644113,2423.29,9.6,A级
汽车课代表🚘,,,7.20338E+18,汽车,1011117,200000,0.47,0.02,0.15,0.41,0.42,50.88,0,5201,0.3333,0,115.3739677,38454.14,3.2,C级
中国女子马帮～小鱼儿,,11.1,6.86086E+18,汽车,1139201,20000,0.71,0.06,0.38,0.39,0.16,65.73,66.15995136,63557,0.0226,0.1735,13.92381252,314.68,9.9,A级
大鱼说车,,3.6,6.69928E+18,汽车,1078948,31800,0.51,0.1,0.5,0.2,0.13,54.11,40.16242679,4934,0.0523,0.1145,123.2327914,6445.07,7.8,A级
段总说车,,220.1,6.87017E+18,汽车,1118424,45000,0.76,0.09,0.27,0.35,0.27,78.09,60,11707,0.0305,0.0711,126.0280034,3843.85,8.6,A级
小樊同学。,,3.4,6.83796E+18,汽车,1002616,22000,0.35,0.02,0.04,0.11,0.82,41.74,39.38094976,2941,1,0.0143,7.480448827,7480.45,4.5,C级
懂车师兄,,96.4,6.86458E+18,汽车,1024100,18500,0.82,0.13,0.34,0.29,0.2,71.22,67.78315802,24482,0.027,0.0638,27.98730435,755.66,10.6,S级
玩车的土豆,,212.2,6.95685E+18,汽车,1090634,27100,0.92,0.19,0.46,0.22,0.09,70.06,72.14792797,21202,0.0038,0.1805,336.363501,1278.18,8.4,A级
腾发二手车（祥子）,,84.6,1.67924E+15,汽车,1090529,12000,0.92,0.19,0.47,0.2,0.09,67.66,65.74698055,22164,0.0092,0.0377,58.84983875,541.42,9.4,A级
炮弹情报局,,19.2,7.11004E+18,汽车,1082480,20100,0.97,0.23,0.37,0.16,0.13,62.15,66.74398141,4161,0.1484,0.0153,32.55100792,4830.57,8.6,A级
河南合众汇金,,130.7,6.86548E+18,汽车,1084448,15000,0.77,0.17,0.44,0.25,0.12,66.78,80.97873167,20551,0.0055,0.1689,132.7075435,729.89,9.2,A级
智能车指南,,10,6.83251E+18,汽车,1017149,60000,0.47,0.04,0.19,0.13,0.62,56.97,36.55545152,7059,0.0102,0.0801,833.3125005,8499.79,5.3,B级
淘车强,,16.4,6.8544E+18,汽车,1015065,30000,0.89,0.33,0.38,0.1,0.03,58.72,70.32144245,22447,0.0187,0.0364,71.46959838,1336.48,8.8,A级
熊北乐,,3.4,6.87016E+18,汽车,1124113,47300,0.96,0.32,0.24,0.05,0.02,57.94,65.37108774,27550,0,,4.73E+13,1716.88,5.6,B级
JoinTheClub,,47.5,6.67265E+18,汽车,1073271,50000,0.9,0.39,0.26,0.05,0.03,75.01,69.81343025,11314,0.0044,0.0193,1004.387163,4419.3,8.6,A级
李森总聊车,,25.2,7.2701E+18,汽车,1106500,50000,0.83,0.2,0.53,0.19,0.05,71.92,0,9155,0.0537,0.1906,101.7038445,5461.5,9.6,A级
主任驾道,,5.3,7.174E+18,汽车,1006240,60000,0.7,0.04,0.26,0.42,0.28,62.95,0,13886,0.1371,0.06,31.51640224,4320.9,7.4,A级
速识主义,,12,6.62972E+18,汽车,1166170,50000,0.55,0.16,0.3,0.19,0.06,60.79,46.01583089,7767,0.1224,0.0969,52.59388851,6437.49,8.4,A级
苏小落_solo👾,,3.8,7.18028E+18,汽车,1172725,80000,0.62,0.05,0.48,0.24,0.13,39.87,0,15142,0,,8E+13,5283.32,4,C级
汤姆不是猫,,3.8,6.86449E+18,"旅行, 汽车, 颜值达人",1063243,68000,0.45,0.01,0.04,0.15,0.78,50.99,55.94741722,3079,1,0.0405,22.08509256,22085.09,4.8,C级
老表说车（豹表大队）,,46.8,6.80471E+18,汽车,1053144,10100,0.92,0.13,0.45,0.26,0.14,73.84,69.2439886,25265,0.0121,0.0888,33.03822457,399.76,10.6,S级
中国新能源汽车,,5.4,6.99168E+18,汽车,1003378,90800,0.8,0.17,0.42,0.2,0.16,60.72,68.76183554,4459,0.0548,0.0709,371.5932511,20363.31,9.4,A级
山山来电,,3.9,6.839E+18,汽车,1134532,50000,0.56,0.29,0.44,0.12,0.03,52.14,60,24578,0.0023,0.3749,884.4955015,2034.34,6.2,B级
小熊聊车,,63.9,6.87017E+18,汽车,1116133,33000,0.46,0.03,0.06,0.11,0.78,56.82,69.68760163,46735,0.2474,0.0442,2.85411848,706.11,7.8,A级
文哥+新车报价,,13.5,6.87017E+18,汽车,1031602,112800,0.41,0.06,0.38,0.18,0.35,60.62,37.66136065,1142,0.006,0.0103,16462.34676,98774.08,4.9,C级
温暖驾日,,168.9,6.84878E+18,汽车,1011526,38000,0.71,0.17,0.34,0.15,0.13,62.59,67.05508468,2459,0.026,0.1144,594.3629368,15453.44,9.4,A级
猎团摩托车经营部,,18.9,6.87017E+18,汽车,1179343,35000,0.94,0.03,0.23,0.34,0.39,66.54,0,15400,0.0044,0.2133,516.5289256,2272.73,5.7,B级
买车黄金眼,,7.2,6.65335E+18,汽车,1059769,0,0.94,0.31,0.53,0.1,0.01,60.57,52.38168009,4468,0.0026,0.0018,0,,7.2,A级
枫达驾驶,,1.2,6.80608E+18,汽车,1059245,0,0.59,0.2,0.4,0.22,0.1,49.67,66.93476321,16220,0,,0,,7.6,A级
小朱说车🚗,,1315,6.87379E+18,汽车,1085383,40000,0.58,0.2,0.48,0.16,0.03,56.38,64.45764828,16354,0,,4E+13,2445.88,5.6,B级
房车行,,25,6.70672E+18,汽车,1059312,12000,0.87,0.16,0.43,0.23,0.11,63.9,66.99378752,11750,0.0083,0.0345,123.045373,1021.28,9.4,A级
吴贤朴商务车定制,,17.4,6.86742E+18,汽车,1105831,31800,0.85,0.07,0.38,0.33,0.21,69.7,60,7599,0.0106,0.0425,394.788788,4184.76,8.4,A级
西安壹哥二手车（招销售 招主播）,,10.1,6.71654E+18,汽车,1034425,10000,0.49,0.09,0.38,0.31,0.2,66.48,67.33211832,13758,0.0077,0.0624,94.39608219,726.85,6.6,B级
阿彪说车,,1,6.62966E+18,汽车,1049346,60000,0.61,0.11,0.36,0.23,0.26,58.56,55.53481881,4054,0,,6E+13,14800.2,4.6,C级
黑桃小A,,1753,6.87017E+18,汽车,1168333,28000,0.42,0.02,0.09,0.26,0.61,51.76,65.28335228,10,0,,2.8E+13,2800000,2.1,C级
柚子撩车,,12.8,6.87017E+18,汽车,1083354,100000,0.82,0.05,0.27,0.37,0.3,64.08,65.16883633,0,0,,1E+14,,5.2,B级
杀手家的乔思林,,5953,6.87017E+18,汽车,1097981,100000,0.92,0.24,0.44,0.15,0.06,51.85,62.86182284,3050,0.0079,0.0023,4150.238639,32786.89,5.4,B级
Lan,,6,6.87017E+18,汽车,1000950,39000,0.82,0.17,0.39,0.26,0.04,63.42,66.78281266,0,0,,3.9E+13,,6.2,B级
广西超模CP情侣吃喝玩乐购物攻略,,3.4,6.96908E+18,"旅行, 汽车, 美食",1199772,60000,0.48,0.03,0.09,0.15,0.71,48.64,68.77307786,6548,0.3571,0.1749,25.65976824,9163.1,5.8,B级
是艾希吖❤️,,1.9,6.87017E+18,汽车,1100433,24200,0.88,0.24,0.45,0.16,0.06,58.63,60,8442,0.0052,0.0535,551.2729393,2866.62,6.6,B级
WAGONS光速超跑,,1,6.87016E+18,汽车,1158451,40000,0.58,0.34,0.34,0.08,0.02,54.56,60,3993,0.0017,0.0368,5892.665105,10017.53,6.2,B级
莞漂女汉子,,485.5,6.92659E+18,生活,1193970,45000,0.65,0.32,0.5,0.09,0.01,78.31,74.55127855,2815681,0.0121,0.1905,1.320820173,15.98,15.6,S级
karakush,,910,7.21261E+18,汽车,1178583,35828,0.59,0.02,0.05,0.03,0.89,53.67,0,2152,0,,3.5828E+13,16648.7,2.6,C级
大洲秒车,,2.8,6.7643E+18,汽车,1129928,0,0.81,0.1,0.47,0.29,0.11,58.02,60.40560944,9414,0.0035,0.0246,0,,7.8,A级
车界老陈（严选二手车）,,986,6.67367E+18,汽车,1148769,0,0.74,0.17,0.48,0.23,0.1,45.58,39.47991398,4706,0,,0,,6.6,B级
唐会洋哥,,65.2,6.87017E+18,汽车,1077950,110000,0.95,0.33,0.48,0.09,0.02,78.79,89.29944743,58895,0.021,0.0741,88.93955749,1867.73,13.6,S级
文博MACH,,72,6.71076E+18,汽车,1001550,31500,0.93,0.32,0.23,0.07,0.03,58.7,69.25011933,0,0,,3.15E+13,,5.6,B级
柳刀刀,,4.6,6.71766E+18,"旅行, 汽车, 科技数码",1079227,26250,0.71,0.09,0.39,0.24,0.15,47.5,41.92683931,5546,1,0.0351,4.733141003,4733.14,8.8,A级
小盒_,,4.2,6.62972E+18,汽车,1100822,55000,0.6,0.08,0.47,0.22,0.11,38.55,65.23161206,1937,1,0.0297,28.39442437,28394.42,7.4,A级
阿林与超跑,,1974,6.87017E+18,汽车,1003642,3500,0.42,0.02,0.06,0.14,0.77,54.43,63.40893026,9695,0,,3.5E+12,361.01,2.1,C级
领航驾考科目一,,4943,7.03002E+18,汽车,1081113,8000,0.7,0.04,0.22,0.35,0.38,58.56,62.19538615,8405,0.0036,0.0361,264.3928878,951.81,5.1,B级
娜娜爱喝冰阔落,,8.1,6.62973E+18,"汽车, 生活, 美食",1003696,30000,0.73,0.1,0.5,0.23,0.07,52.53,42.97318814,2141,0.768,0.0192,18.24497898,14012.14,7.5,A级
说车小念念,,3.9,6.95671E+18,汽车,1008481,45000,0.51,0.04,0.16,0.24,0.54,51.91,67.10577132,28649,0.5183,0.4142,3.030552678,1570.74,9.3,A级
河北杨巧嘴二手房车（全国收车）,,1.8,6.68418E+18,汽车,1060634,2500,0.85,0.09,0.4,0.3,0.18,55.32,68.01151371,8990,0.0103,0.0334,26.99871486,278.09,8.8,A级
老司机show,,1,6.73752E+18,汽车,1029643,0,0.62,0.15,0.42,0.27,0.12,54.22,63.72048865,0,0,,0,,7.6,A级
玩车奶爸,,3.3,7.28117E+18,汽车,1038648,40000,0.65,0.22,0.31,0.15,0.06,48.21,0,4800,1,0.024,8.333333333,8333.33,8,A级
龙较瘦,,6.5,7.24407E+18,"汽车, 测评",1083753,30000,0.51,0.02,0.06,0.07,0.84,56.5,0,6632,0.0343,0.0671,131.8811171,4523.52,5.8,B级
Migo侃车,,20.2,7.02807E+18,汽车,1024887,45000,0.47,0.02,0.05,0.1,0.81,56.62,66.54025585,11034,1,0.0471,4.078303426,4078.3,6.8,B级
酥大小姐,,1.9,7.24633E+18,"旅行, 汽车, 美食",1127992,35000,0.56,0.02,0.07,0.17,0.73,61.21,0,10461,0.0905,0.0219,36.96972866,3345.76,5.6,B级
一脚油门儿,,43.5,6.62967E+18,"旅行, 汽车",1035723,49800,0.78,0.19,0.48,0.2,0.07,68.43,62.03262262,27834,0.0252,0.0773,70.99915485,1789.18,8.4,A级
吕书超超,,1.4,6.62966E+18,汽车,1064552,60000,0.56,0.23,0.48,0.17,0.05,41.35,44.85386164,3464,0,0,6E+13,17321.02,4.6,C级
车检小姐姐,,21,6.98992E+18,汽车,1086348,20000,0.95,0.02,0.22,0.41,0.35,72.38,65.27196984,13954,0.0136,0.2444,105.3882926,1433.28,9.1,A级
李老师信息技术咨询,,226,6.75617E+18,汽车,1163321,0,0.33,0.12,0.44,0.27,0.14,49.5,60.84535139,0,0,,0,,5.1,B级
教练小柯,,5481,6.87017E+18,汽车,1106655,0,0.42,0.19,0.46,0.21,0.08,56.36,63.24281898,0,0,,0,,6.1,B级
静静酱,,1459,6.82769E+18,汽车,1004105,40000,0.45,0.03,0.13,0.27,0.57,49.3,39.30255295,6435,0,,4E+13,6216.01,1.6,C级
晓东闯美果,,4,6.87017E+18,生活,1027813,29900,0.34,0.01,0.12,0.31,0.55,63.3,63.6977489,18031,0.0137,0.1392,121.0405275,1658.26,5.9,B级
晚风予夏🌿🐕,,135,7.08835E+18,"汽车, 生活",1142614,40000,0.57,0.06,0.51,0.23,0.13,44.81,41.44914764,17902,0,,4E+13,2234.39,4.6,C级
麦麦和车车🚗,,2.5,7.25037E+18,汽车,1140642,38000,0.61,0.03,0.12,0.26,0.58,40.87,0,2092,0,,3.8E+13,18164.44,2.6,C级
米桃学妹,,5.2,7.13972E+18,汽车,1053739,50000,0.42,0.12,0.44,0.11,0.31,63.64,60,3285,0.2303,0.0074,66.09075186,15220.7,5.7,B级
凯莉NiNi,,3.2,6.67475E+18,"旅行, 汽车",1178785,25000,0.77,0.05,0.3,0.29,0.09,45.77,43.49684297,5876,0.5919,0.0154,7.188030009,4254.59,7,B级
王洪浩的进化论,,4.7,6.92806E+18,汽车,1068272,300000,0.79,0.1,0.46,0.29,0.12,54.43,67.9254889,10771,0,,3E+14,27852.57,5.6,B级
晚晚妹子,,183,6.85619E+18,"汽车, 美食",1082847,30000,0.58,0.01,0.06,0.18,0.74,41.77,37.44416293,2978,0,,3E+13,10073.88,2.6,C级
慢说车,,8.7,7.24935E+18,汽车,1033782,60000,0.87,0.1,0.47,0.29,0.12,68.24,0,6409,0.0702,0.103,133.3594718,9361.83,8.4,A级
42号终极小鸣,,73.1,7.24704E+18,汽车,1036401,40000,0.94,0.18,0.11,0.07,0.03,58.35,0,10201,0.0323,0.191,121.3988916,3921.18,6.3,B级
小表妹聊车,,7.5,7.2834E+18,汽车,1158443,30000,0.86,0.2,0.4,0.13,0.07,57.04,0,1944,0.1114,0.0854,138.5287142,15432.1,7.8,A级
数码君,,5.7,6.62966E+18,"汽车, 科技数码",1119892,150000,0.75,0.27,0.44,0.13,0.04,53.52,46.01679173,7218,1,0.0073,20.78137988,20781.38,6.6,B级
捷途水晶晶主播,,21.9,7.15603E+18,汽车,1017728,22700,0.81,0.15,0.25,0.17,0.31,67.04,60,17250,0.2283,0.0387,5.764091235,1315.94,9.4,A级
小宁er,,415.5,7.18724E+18,汽车,1078124,50000,0.79,0.09,0.29,0.34,0.25,79.87,0,58852,0.0406,0.0602,20.92583249,849.59,8.6,A级
涵姐的车库,,452.9,6.87017E+18,汽车,1150472,32000,0.41,0.04,0.08,0.14,0.72,74.22,70.73066464,1062097,0.1068,0.0998,0.282107442,30.13,11.1,S级
东哥N+四驱车线上赛直播间,,19.2,6.68247E+18,汽车,1094091,20200,0.77,0.24,0.44,0.14,0.08,72.57,82.7560136,73,0.0055,0.1767,50311.3325,276712.33,8.4,A级
筱百合,,6517,6.87017E+18,"汽车, 测评, 美妆",1033957,33750,0.67,0.01,0.06,0.2,0.72,50.18,60,2443,0.0144,0.0035,959.3737208,13814.98,4.2,C级
初号GTR,,445,7.12095E+18,汽车,1174027,10800,0.49,0.02,0.06,0.04,0.87,47.43,60,2327,0,,1.08E+13,4641.17,0.6,C级
懂车帝研习社,,12,7.07607E+18,汽车,1105485,0,0.95,0.25,0.51,0.15,0.03,63.41,66.1285456,53176,0,,0,,8.2,A级
嘉嘉☘️,,2861,6.99672E+18,汽车,1143259,0,0.72,0.03,0.17,0.3,0.48,62.15,79.79938987,6541,0,,0,,7.7,A级
以太,,833,6.71829E+18,汽车,1015740,0,0.76,0.21,0.28,0.14,0.07,54.06,65.36141607,32541,0,,0,,7.6,A级
懂车帝视线,,1833.4,6.70053E+18,汽车,1172639,0,0.9,0.28,0.43,0.13,0.09,78.77,67.4832357,28701,0.0104,0.3495,0,,12.6,S级
合众汇金汽车,,269.4,6.76912E+18,汽车,1042354,0,0.8,0.16,0.43,0.26,0.12,78.73,71.16295653,11819,0.0047,0.1018,0,,11.4,S级
慕余机车,,43.9,6.87017E+18,汽车,1049103,0,0.95,0.02,0.17,0.36,0.45,65.76,66.79787173,6681,0.0039,0.2452,0,,8.2,A级
瓜子二手车,,524.5,6.70334E+18,汽车,1047676,0,0.91,0.08,0.28,0.25,0.36,74.51,60.18942167,2039,0.0348,0.1603,0,,10.6,S级
男人的快乐老丁,,1520,6.86553E+18,汽车,1621906,100000,0.83,0.22,0.45,0.12,0.08,77.49,74.40214842,2500952,0.0127,0.2029,3.148407386,39.98,14.6,S级
廷gg丶爱玩车,,1460.5,7.00413E+18,汽车,1554912,55000,0.9,0.37,0.31,0.05,0.02,81.43,60,6716756,0.0148,0.1638,0.553275453,8.19,13.6,S级
汽车人老徐（胆小）,,806.9,6.84968E+18,汽车,1624692,117900,0.89,0.18,0.46,0.2,0.11,84.41,71.60836343,300701,0.019,0.1726,20.63599109,392.08,10.6,S级
超哥超车,,1485.9,6.96345E+18,汽车,1670810,80000,0.94,0.14,0.42,0.28,0.13,79.23,71.24790267,672285,0.0084,0.0828,14.16632756,119,11.6,S级
赵三河（考驾照中）,,1060.8,6.81834E+18,汽车,1291804,60000,0.95,0.32,0.21,0.06,0.03,86.49,75.6970774,2397709,0.015,0.2493,1.668259159,25.02,15.6,S级
阿伟汽车,,1243.6,6.96559E+18,剧情搞笑,1626241,50000,0.87,0.13,0.38,0.27,0.18,87.82,93.6325817,920683,0.0079,0.1761,6.874368185,54.31,14.8,S级
屈茜,,886.4,6.62966E+18,"汽车, 颜值达人",1645079,88000,0.96,0.3,0.49,0.07,0.03,84.94,67.17183771,916626,0.0159,0.122,6.038003717,96,12.1,S级
机械师 小林,,367.8,7.17174E+18,汽车,1641135,85000,0.96,0.14,0.41,0.26,0.12,76.01,0,678316,0.0177,0.0839,7.079679511,125.31,11.1,S级
老北京说车,,983.7,6.85036E+18,汽车,1398761,120000,0.89,0.18,0.52,0.16,0.1,80.8,71.78338106,764019,0.016,0.2761,9.816509799,157.06,11.6,S级
天津亮哥说车,,371.5,6.87016E+18,汽车,1346800,45600,0.93,0.12,0.43,0.27,0.14,78.68,69.96047803,322977,0.0073,0.1394,19.34061974,141.19,10.8,S级
大宝评车,,34.3,7.15282E+18,汽车,1632458,45000,0.58,0.02,0.05,0.04,0.89,63.63,68.60848575,11238,0.5753,0.059,6.960318482,4004.27,8.4,A级
途野玩家晴儿,,440.9,6.87017E+18,"旅行, 汽车",1609112,90000,0.77,0.2,0.53,0.18,0.05,80.87,69.47074564,681447,0.0167,0.182,7.908497003,132.07,12.1,S级
三金玩车,,40.7,6.63915E+18,汽车,1516206,40000,0.69,0.15,0.39,0.19,0.08,66.47,65.19703479,81678,0.1069,0.0486,4.581178261,489.73,10.4,S级
说车魏同学,,11.9,6.87017E+18,汽车,1692184,88000,0.34,0.07,0.46,0.13,0.33,69.67,56.80303489,6797,1,0.0197,12.94688833,12946.89,6.6,B级
沙奔的汽车笔录,,72.2,6.85567E+18,汽车,1228269,100000,0.93,0.38,0.39,0.06,0.02,73.58,68.13279035,478826,0.0254,0.2931,8.222209893,208.84,11.6,S级
胡七刀,,262.3,6.87017E+18,"汽车, 生活",1531028,30600,0.79,0.28,0.34,0.1,0.05,73.7,69.94698027,205339,0.0199,0.0799,7.488535749,149.02,12.1,S级
京城二超,,3.9,6.62966E+18,汽车,1307219,200000,0.77,0.19,0.41,0.2,0.09,58.95,63.89216307,1409902,0,,2E+14,141.85,6.1,B级
起哥的车库,,272.9,7.25571E+18,汽车,1369601,50000,0.91,0.34,0.41,0.1,0.02,81.73,0,264331,0.0171,0.1208,11.06179982,189.16,10.1,S级
9号拍挡,,843.6,7.1611E+18,汽车,1235164,35000,0.98,0.21,0.46,0.19,0.06,77.85,0,487687,0.0106,0.0866,6.770504017,71.77,11.1,S级
玩车的小恩,,444.8,6.99762E+18,汽车,1334572,60000,0.87,0.24,0.37,0.11,0.08,79.24,72.39732779,251778,0.0377,0.1595,6.321092138,238.31,10.6,S级
一鹿有车,,3,6.67526E+18,汽车,1555456,120000,0.74,0.17,0.37,0.18,0.07,63.04,56.51454978,4201,0.0721,0.0746,396.1806861,28564.63,8.4,A级
玩车小虎队,,518.6,6.84443E+18,汽车,1366718,90000,0.67,0.32,0.4,0.06,0.04,74.7,67.28414373,292652,0.0156,0.228,19.71362153,307.53,11.1,S级
卡车颜姐,,375.5,6.85766E+18,汽车,1676197,30000,0.77,0.05,0.23,0.31,0.39,77,73.25141381,371872,0.0134,0.3169,6.020367143,80.67,11.6,S级
我是牙主任,,4.1,6.71226E+18,汽车,1667723,120000,0.75,0.05,0.34,0.28,0.1,45.72,55.29845351,31456,1,0.031,3.814852492,3814.85,8.8,A级
希哥撩车,,253.8,6.81657E+18,汽车,1649528,58000,0.66,0.1,0.35,0.27,0.25,82.07,92.14959061,287935,0.0091,0.2392,22.13564302,201.43,13.6,S级
梨落三三,,238.1,6.67881E+18,汽车,1446818,25000,0.89,0.24,0.16,0.08,0.03,78.09,68.8187387,52778,0.0182,0.3339,26.02649539,473.68,10.6,S级
明哥超跑维修翻新（招机修）,,99.6,7.25521E+18,汽车,1283705,50000,0.91,0.28,0.43,0.1,0.03,68.58,0,558695,0.0094,0.1019,9.520666797,89.49,9.9,A级
嘉露玩车,,394.4,6.91899E+18,汽车,1483947,60000,0.95,0.25,0.5,0.14,0.04,77.4,88.03352856,271461,0.0129,0.1875,17.13381587,221.03,14.1,S级
闫闯说车,,476.2,6.77758E+18,汽车,1471474,300000,0.94,0.26,0.5,0.12,0.05,78.57,67.12819845,200276,0.0263,0.0778,56.95562177,1497.93,10.6,S级
李老司讲车二手车,,198.9,6.87017E+18,汽车,1451468,55000,0.93,0.24,0.49,0.18,0.04,75.59,92.74480163,290527,0.0093,0.1313,20.35603746,189.31,13.6,S级
大秦军陕团,,337.1,1.68027E+15,汽车,1313697,49000,0.95,0.19,0.49,0.21,0.08,75.03,70.1285239,389903,0.0289,0.0909,4.348521889,125.67,12.1,S级
三刀侃车,,348.6,6.82141E+18,汽车,1385332,100000,0.91,0.24,0.46,0.15,0.07,76.37,71.02080785,153889,0.0136,0.0497,47.78081069,649.82,10.6,S级
平安挖掘机培训教学,,1218.1,6.94582E+18,汽车,1436095,18000,0.67,0.18,0.36,0.16,0.23,82.47,70.60182321,345491,0.003,0.3027,17.36658842,52.1,10.9,S级
娜娜爱说车🚗,,0.6,6.87017E+18,汽车,1253480,65000,0.8,0.01,0.04,0.14,0.8,51.24,60.18759237,938,0,,6.5E+13,69296.38,2.6,C级
乡村大宁,,613.5,6.87016E+18,汽车,1227981,37000,0.88,0.28,0.51,0.12,0.02,77.58,74.88197372,958224,0.0064,0.1064,6.033297016,38.61,12.8,S级
机车村长,,212.1,6.77704E+18,汽车,1689942,31800,0.8,0.18,0.31,0.14,0.1,73.9,69.70792652,230580,0.0254,0.3249,5.429649163,137.91,12.1,S级
星月妹妹（说车版）,,2.1,6.87016E+18,汽车,1351216,60000,0.33,0.08,0.31,0.21,0.39,44.02,58.40374359,8542,0.8055,0.0077,8.720193832,7024.12,5.1,B级
你好！Yuki,,3.1,6.75578E+18,汽车,1361098,55000,0.38,0.05,0.22,0.21,0.5,51.82,38.19047401,3788,0.6485,0.0029,22.38941461,14519.54,3.2,C级
李盒七,,238,7.06446E+18,"剧情搞笑, 汽车",1259397,50000,0.67,0.19,0.41,0.13,0.13,76.03,71.047199,118237,0.0098,0.0389,43.15096642,422.88,10.6,S级
车二哥说车,,185.4,6.99772E+18,汽车,1483190,31800,0.96,0.06,0.33,0.38,0.23,70.05,69.76249406,175387,0.0118,0.054,15.36553595,181.31,10.1,S级
开车大神,,93.6,6.7635E+18,汽车,1641023,30000,0.92,0.25,0.52,0.14,0.03,70.26,67.15209373,344569,0.0347,0.0551,2.509086175,87.07,13.1,S级
三太,,149.2,6.85959E+18,汽车,1246117,0,0.87,0.12,0.11,0.07,0.03,63.96,67.30585095,1948367,0.0518,0.2757,0,,9.9,A级
王山花,,418.6,6.76349E+18,汽车,1227783,80000,0.73,0.3,0.35,0.08,0.17,79.14,71.48609966,138005,0.0173,0.0316,33.50804287,579.69,10.6,S级
